Language,Domain,Resource Count,Top Resources,Top URLs,Keywords
Flutter Best Practices,general,1,Performance Best Practices,https://flutter.dev/docs/perf/rendering/best-practices,"api, best, best practices, database, flutter, performance, practices"
Frameworks & Libraries,general,2,Advanced ReactJS Patterns | React Interview Questions & Answers,https://github.com/kentcdodds/advanced-react-patterns-v2 | https://github.com/sudheerj/reactjs-interview-questions,"advanced, answers, best, frameworks, frontend, interview, jsx, libraries, patterns, practices, questions, react, reactjs"
Frontend Performance,frontend,2,Web Vitals Best Practices (Google) | High Performance Web Apps (MDN),https://web.dev/vitals/ | https://developer.mozilla.org/en-US/docs/Learn/Performance,"apps, best, best practices, frontend, google, high, mdn, performance, practices, rest, vitals, web"
Functional & Specialized,general,5,Elixir Metaprogramming Cheatsheet | The Elixir Style Guide | Elixir Style Guide | Credo's Elixir Style Guide | Elixir Cheatsheet,https://devhints.io/elixir-metaprogramming | https://github.com/christopheradams/elixir_style_guide | https://github.com/lexmag/elixir-style-guide | https://github.com/rrrene/elixir-style-guide | https://devhints.io/elixir,"architecture, best, cheatsheet, credo, elixir, functional, guide, metaprogramming, practices, specialized, style, style guide, testing, the"
Get Involved,general,4,Design Resources for Developers | The Book of Secret Knowledge | Awesome Lists | Free Programming Books,https://github.com/bradtraversy/design-resources-for-developers | https://github.com/trimstray/the-book-of-secret-knowledge | https://github.com/sindresorhus/awesome | https://github.com/EbookFoundation/free-programming-books,"awesome, backend, book, books, cloud, contributors, design, developers, devops, for, free, get, involved, knowledge, lists, of, programming, resources, rest, secret, security, style guide, the"
Go,backend,4,Go Best Practices | Go Style Guide | Golang Tutorial Series | Soham Kamani – Golang,https://github.com/mehrdadrad/GoBestPractices | https://github.com/AgtLucas/go-style-guide | https://golangbot.com/learn-golang-series/ | https://www.sohamkamani.com/golang/,"best, best practices, design patterns, functional, go, golang, guide, kamani, practices, rest, series, soham, specialized, style, style guide, tutorial"
HTML,frontend,3,HTML Best Practices | Frontend Guidelines | Google HTML Style Guide,https://github.com/hail2u/html-best-practices | https://github.com/bendc/frontend-guidelines | https://google.github.io/styleguide/htmlcssguide.html#HTML,"api, best, best practices, core, frontend, google, guide, guidelines, html, practices, style, style guide, technologies"
Java,backend,4,Java Best Practices | Selenium Best Practices | Java Best Practices Guide | 30 Java Programming Tips for Beginners,https://github.com/in28minutes/java-best-practices | https://github.com/previousdeveloper/Selenium-best-practices | https://howtodoinjava.com/java-best-practices/ | https://www.javacodegeeks.com/2015/06/java-programming-tips-best-practices-beginners.html,"aws, beginners, best, best practices, cloud, design patterns, devops, enterprise, for, guide, java, jvm, languages, microservices, performance, practices, programming, selenium, testing, tips"
JavaScript,frontend,9,"Clean Code JavaScript | Airbnb JavaScript Style Guide | ES6 Cheatsheet | Common JavaScript ""Gotchas"" | Pragmatic JavaScript Standards",https://github.com/ryanmcdermott/clean-code-javascript | https://github.com/airbnb/javascript | https://github.com/DrkSephy/es6-cheatsheet | https://github.com/stevekwan/best-practices/blob/master/javascript/gotchas.md | https://github.com/stevekwan/best-practices/blob/master/javascript/best-practices.md,"airbnb, architecture, best, best practices, cheatsheet, clean, clean code, code, common, core, ecmascript, es6, google, gotchas, guide, guidelines, javascript, js, mdn, node, performance, practices, pragmatic, refactoring, right, standards, style, style guide, technologies, testing, the, way"
Kotlin,backend,2,Kotlin Style Guide | Kotlin Style Guide (Ray Wenderlich),https://github.com/yole/kotlin-style-guide | https://github.com/raywenderlich/kotlin-style-guide,"best, enterprise, guide, jvm, kotlin, languages, practices, ray, style, style guide, wenderlich"
Laravel,backend,2,Laravel: The Right Way | Laravel Best Practices,https://github.com/laraveltherightway/laraveltherightway.github.io | https://github.com/uonick/laravel-best-practices,"backend, best, best practices, laravel, practices, rest, right, style guide, the, way, web"
Lua,scripting,1,Lua Style Guide,http://lua-users.org/wiki/LuaStyleGuide,"best, functional, guide, lua, practices, specialized, style, style guide"
Microservices,cloud,3,12 Factors for Building Cloud-Native Apps | Microservices Best Practices (Microsoft) | Cloud-Native Patterns (CNCF),https://12factor.net/ | https://learn.microsoft.com/en-us/azure/architecture/microservices/ | https://github.com/cncf/presentations,"apps, architecture, authorization, best, best practices, building, cloud, cncf, database, deployment, factors, for, frontend, microservices, microsoft, native, patterns, practices"
MySQL,database,2,MySQL Performance Best Practices | MySQL Security Best Practices,https://dev.mysql.com/doc/refman/8.0/en/optimization.html | https://dev.mysql.com/doc/refman/8.0/en/security-guidelines.html,"best, best practices, databases, mariadb, mysql, optimization, performance, practices, rest, security, sql"
NestJS,backend,1,Best NestJS Practices and Advanced Techniques,https://dev.to/drbenzene/best-nestjs-practices-and-advanced-techniques-9m0,"advanced, and, architecture, authentication, authorization, backend, best, best practices, logging, nestjs, optimization, performance, practices, techniques, testing, web"
Next.js,frontend,2,Best Practices for Clean React/Next.js Projects | Best Practices to Increase Next.js Speed,https://blogs.perficient.com/2023/04/25/best-practices-for-building-and-sustaining-a-clean-react-next-js-project/ | https://stackoverflow.blog/2022/12/20/best-practices-to-increase-the-speed-for-next-js-apps/,"best, best practices, clean, for, frameworks, increase, jsx, libraries, next.js, nextjs, performance, practices, projects, react, reactjs, rest, speed, to"
NoSQL & Big Data,general,3,10 NoSQL Data Modeling Best Practices | MongoDB Schema Design Best Practices | 11 MongoDB Security Features & Best Practices,https://climbtheladder.com/10-nosql-data-modeling-best-practices/ | https://www.mongodb.com/developer/products/mongodb/mongodb-schema-design-best-practices/ | https://satoricyber.com/mongodb-security/11-mongodb-security-features-and-best-practices/,"authentication, authorization, best, best practices, big, data, database, design, design patterns, features, modeling, mongodb, monitoring, nosql, performance, practices, scalability, schema, security, sql"
Node.js,backend,1,RisingStack Node.js Style Guide,https://github.com/RisingStack/node-style-guide,"backend, best, guide, node.js, nodejs, practices, risingstack, style, style guide, web"
Nuxt,frontend,1,10 Nuxt Best Practices,https://climbtheladder.com/10-nuxt-best-practices/,"best, best practices, frameworks, libraries, nuxt, performance, practices, scalability"
Objective-C,mobile,4,NYTimes Objective-C Style Guide | Objective-C Style Guide (Ray Wenderlich) | GitHub Objective-C Style Guide | Code Style & Best Practices for Objective-C,https://github.com/NYTimes/objective-c-style-guide | https://github.com/raywenderlich/objective-c-style-guide | https://github.com/github/objective-c-style-guide | https://github.com/wangshengjia/-Code-Style---Best-Practise-for-Objective-C,"best, best practices, code, for, functional, github, guide, nytimes, objective, practices, ray, specialized, style, style guide, wenderlich"
PHP,backend,3,PHP: The Right Way | PHP Knowledge | PHP Coding Standards,https://github.com/codeguy/php-the-right-way | https://github.com/php-earth/php-knowledge | https://github.com/maxdmyers/php-style-guide,"api, backend, best, coding, docker, knowledge, php, practices, right, security, standards, style guide, testing, the, way, web"
Perl,scripting,2,Effective Perl Programming: Idiomatic Perl | Perl Style Guide,https://www.effectiveperlprogramming.com/ | https://perldoc.perl.org/perlstyle,"best, effective, functional, guide, idiomatic, perl, practices, programming, specialized, style, style guide"
PostgreSQL,database,4,"PostgreSQL Performance Best Practices | Best Practices for PostgreSQL Database | Run ANALYZE, Run ANALYZE, Run ANALYZE | Best Practices for Designing PostgreSQL Databases",https://www.adservio.fr/post/postgresql-performance-best-practices | https://www.e2enetworks.com/blog/best-practices-for-postgresql-database | https://ottertune.com/blog/run-postgresql-analyze-to-fix-a-slowdow-in-db/ | https://appmaster.io/blog/best-practices-for-designing-postgresql-databases,"analyze, best, best practices, cloud, database, databases, designing, for, performance, pg, postgres, postgresql, practices, run, sql, testing"
Python,backend,3,Python Code Style Guide | 11 Tips to Write Better Python Code | Python Tutorial: Best Practices & Mistakes,https://docs.python-guide.org/writing/style/ | https://www.python-engineer.com/posts/11-tips-to-write-better-python-code/ | https://jaxenter.com/python-tutorial-best-practices-145959.html,"backend, best, best practices, better, code, django, flask, guide, mistakes, practices, py, python, style, style guide, tips, to, tutorial, web, write"
R Best Practices,general,3,Beyond Basic R – Introduction & Best Practices | Best Practices for Writing R Code | R Coding Style Best Practices,https://waterdata.usgs.gov/blog/intro-best-practices/ | https://swcarpentry.github.io/r-novice-inflammation/06-best-practices-R.html | https://www.datanovia.com/en/blog/r-coding-style-best-practices/,"basic, best, best practices, beyond, code, coding, for, introduction, practices, rest, style, style guide, writing"
React Native,mobile,1,React Native Guide,https://github.com/reactnativecn/react-native-guide,"api, best, frameworks, frontend, guide, jsx, libraries, native, practices, react, reactjs"
Ruby,backend,10,Ruby Style Guide | Ruby Tricks & Best Practices | Best Practice Patterns in Ruby | Ruby Best Practices (Gregory Brown) | Shopify Ruby Style Guide,https://github.com/airbnb/ruby | https://github.com/franzejr/best-ruby | https://github.com/avdi/sbpprb | https://github.com/practicingruby/rbp-book | https://github.com/Shopify/ruby-style-guide,"api, aws, backend, beginners, best, best practices, brown, database, design, design patterns, for, gregory, guide, in, optimization, patterns, practice, practices, rails, rb, refactoring, rest, ror, ruby, shopify, sql, style, style guide, timeouts, tricks, web, writing"
Ruby on Rails,backend,4,rails_best_practices | Arel Cheatsheet | Production Rails | Securing Sensitive Data in Rails,https://github.com/flyerhzm/rails_best_practices | https://devhints.io/arel | https://github.com/ankane/production_rails | https://ankane.org/sensitive-data-rails,"arel, backend, best, best practices, cheatsheet, data, in, logging, practices, production, rails, rb, rest, ror, ruby, securing, security, sensitive, sql, web"
Rust,systems,3,Rust Style Guide | Rust Design Patterns | Design Patterns in Rust,https://github.com/ubsan/style/blob/master/guide.md | https://rust-unofficial.github.io/patterns/ | https://refactoring.guru/design-patterns/rust,"best, design, design patterns, guide, in, patterns, practices, programming, refactoring, rest, rust, style, style guide, systems"
SASS/SCSS,frontend,3,Sass Coding Guidelines | Sass-Guidelines | Sass-lang Style Rules,https://github.com/bigcommerce/sass-style-guide | https://github.com/blackfalcon/Sass-Guidlines/blob/master/SASS-Guidelines.md | https://sass-lang.com/documentation/style-rules,"best, coding, core, guidelines, lang, performance, practices, rules, sass, style, technologies"
SQL,database,3,SQL Style Guide | Best Practices for Writing SQL Queries | SQL Performance Explained (Markus Winand),https://www.sqlstyle.guide | https://www.metabase.com/learn/sql-questions/sql-best-practices | https://use-the-index-luke.com/,"best, best practices, database, databases, explained, for, guide, markus, performance, practices, queries, sql, style, style guide, winand, writing"
Scala,backend,2,Scala Best Practices | Databricks Scala Guide,https://github.com/alexandru/scala-best-practices | https://github.com/databricks/scala-style-guide,"aws, best, best practices, databricks, enterprise, guide, jvm, languages, practices, scala"
Security,general,1,OWASP Top 10 (2024),https://owasp.org/www-project-top-ten/,"best, devsecops, owasp, practices, rest, security, top"
Swift,mobile,1,Swift Style Guide (Eure),https://github.com/eure/swift-style-guide,"api, best, cloud, eure, functional, guide, ios, macos, practices, specialized, style, style guide, swift, testing"
System Design,architecture,1,System Design 101,https://github.com/ByteByteGoHq/system-design-101#system-design-101,"api, architecture, best, design, performance, practices, system, websocket"
TypeScript,frontend,1,TypeScript Best Practices,https://github.com/BestCoderDotInfo/TypeScript-best-practices,"aws, best, best practices, core, practices, technologies, ts, typescript"
Version Control & Collaboration,general,2,Agile Development Best Practices | Effective Pair Programming,https://www.atlassian.com/agile | https://martinfowler.com/articles/on-pair-programming.html,"agile, api, best, best practices, collaboration, control, development, effective, pair, practices, programming, rest, team, version"
Vue.js,frontend,2,Tips & Best Practices (Vue 0.12) | 10 Good Practices for Large Vue.js Projects,https://012.vuejs.org/guide/best-practices.html | https://www.telerik.com/blogs/10-good-practices-building-maintaining-large-vuejs-projects,"best, best practices, cloud, for, frameworks, good, large, libraries, practices, projects, tips, vue, vue.js, vuejs"
